trade_id,timestamp,symbol,side,price,quantity
1,2026-03-04 14:33:54.162714,ETH,BUY,596.72,4
2,2026-03-04 14:34:04.162714,ETH,BUY,40951.37,4
3,2026-03-04 14:34:14.162714,ETH,SELL,19803.92,5
4,2026-03-04 14:34:24.162714,BTC,BUY,37921.55,1
5,2026-03-04 14:34:34.162714,ETH,SELL,27196.79,3
6,2026-03-04 14:34:44.162714,BTC,BUY,16499.19,2
7,2026-03-04 14:34:54.162714,ETH,SELL,14151.85,3
8,2026-03-04 14:35:04.162714,BTC,BUY,43049.86,3
9,2026-03-04 14:35:14.162714,BTC,SELL,10350.46,1
10,2026-03-04 14:35:24.162714,BTC,SELL,19121.44,3
11,2026-03-04 14:35:34.162714,SOL,BUY,26224.04,3
12,2026-03-04 14:35:44.162714,BTC,SELL,10578.85,5
13,2026-03-04 14:35:54.162714,SOL,BUY,1582.05,1
14,2026-03-04 14:36:04.162714,BTC,SELL,44756.98,4
15,2026-03-04 14:36:14.162714,BTC,SELL,43111.04,4
16,2026-03-04 14:36:24.162714,BTC,SELL,9757.09,2
17,2026-03-04 14:36:34.162714,BTC,SELL,4325.78,3
18,2026-03-04 14:36:44.162714,SOL,SELL,37106.04,2
19,2026-03-04 14:36:54.162714,BTC,BUY,32469.33,1
20,2026-03-04 14:37:04.162714,BTC,SELL,19865.54,5
21,2026-03-04 14:37:14.162714,SOL,BUY,41077.61,2
22,2026-03-04 14:37:24.162714,BTC,BUY,18031.92,3
23,2026-03-04 14:37:34.162714,ETH,SELL,6750.2,3
24,2026-03-04 14:37:44.162714,BTC,BUY,4729.26,1
25,2026-03-04 14:37:54.162714,ETH,SELL,38345.3,4
26,2026-03-04 14:38:04.162714,SOL,BUY,1881.85,1
27,2026-03-04 14:38:14.162714,SOL,SELL,5547.54,4
28,2026-03-04 14:38:24.162714,SOL,SELL,41747.8,3
29,2026-03-04 14:38:34.162714,SOL,BUY,15150.91,5
30,2026-03-04 14:38:44.162714,SOL,SELL,18222.48,1
31,2026-03-04 14:38:54.162714,BTC,BUY,8095.57,1
32,2026-03-04 14:39:04.162714,ETH,SELL,44993.62,2
33,2026-03-04 14:39:14.162714,BTC,SELL,32022.57,1
34,2026-03-04 14:39:24.162714,SOL,BUY,41290.94,1
35,2026-03-04 14:39:34.162714,BTC,SELL,35662.23,3
36,2026-03-04 14:39:44.162714,BTC,BUY,13323.78,3
37,2026-03-04 14:39:54.162714,BTC,BUY,17033.14,3
38,2026-03-04 14:40:04.162714,SOL,BUY,37849.52,4
39,2026-03-04 14:40:14.162714,ETH,BUY,33476.6,5
40,2026-03-04 14:40:24.162714,BTC,BUY,21819.77,5
41,2026-03-04 14:40:34.162714,SOL,BUY,31058.89,1
42,2026-03-04 14:40:44.162714,SOL,BUY,42829.33,5
43,2026-03-04 14:40:54.162714,SOL,BUY,18643.11,4
44,2026-03-04 14:41:04.162714,BTC,BUY,37378.54,1
45,2026-03-04 14:41:14.162714,ETH,SELL,40293.12,3
46,2026-03-04 14:41:24.162714,BTC,BUY,32517.52,3
47,2026-03-04 14:41:34.162714,BTC,BUY,37993.93,3
48,2026-03-04 14:41:44.162714,ETH,SELL,7533.9,2
49,2026-03-04 14:41:54.162714,BTC,BUY,6080.53,4
50,2026-03-04 14:42:04.162714,SOL,BUY,26803.8,5
51,2026-03-04 14:42:14.162714,BTC,SELL,25881.12,1
52,2026-03-04 14:42:24.162714,BTC,SELL,27522.29,2
53,2026-03-04 14:42:34.162714,ETH,BUY,19006.45,5
54,2026-03-04 14:42:44.162714,ETH,BUY,2699.04,2
55,2026-03-04 14:42:54.162714,BTC,BUY,32835.46,5
56,2026-03-04 14:43:04.162714,ETH,SELL,37638.87,2
57,2026-03-04 14:43:14.162714,ETH,SELL,14229.13,2
58,2026-03-04 14:43:24.162714,SOL,BUY,1083.35,5
59,2026-03-04 14:43:34.162714,SOL,SELL,16211.98,5
60,2026-03-04 14:43:44.162714,SOL,BUY,37125.46,5
